trade_code,name
240014,华宝中证100指数
270023,广发全球精选股票(QDII
270027,广发全球农业指数(QDII)
270042,广发纳斯达克100指数A
310318,申万菱信沪深300指数增强
310398,申万菱信沪深300价值指数
320010,诺安中证100指数
320014,诺安沪深300指数增强
320020,诺安策略精选股票
320022,诺安研究精选股票
340006,兴全全球视野股票
360001,光大量化股票
370023,上投中证消费指数
399011,中海医疗保健主题股票
410008,华富中证100指数
410010,华富中小板指数增强
457001,国富亚洲机会股票
481009,工银沪深300指数A
501005,汇添富中证精准医疗指数A
501006,汇添富中证精准医疗指数C
501007,汇添富中证互联网医疗指数A
501008,汇添富中证互联网医疗指数C
501009,汇添富中证生物科技指数A
501010,汇添富中证生物科技指数C
501011,汇添富中证中药指数(LOF
501012,汇添富中证中药指数(LOF
501016,国泰中证申万证券行业指数
501019,国泰国证航天军工指数
501023,鹏华香港中小企业指数LOF
501025,鹏华香港银行指数(LOF)
501030,汇添富中证环境治理指数A
501031,汇添富中证环境治理指数C
501043,汇添富沪深300指数A
501045,汇添富沪深300指数C
501047,汇添富中证全指证券公司指数
501048,汇添富中证全指证券公司指数
501050,华夏上证50AH优选指数A
501060,中金优选300指数(LOF)A
501061,中金优选300指数(LOF
501067,招商富时A-H50指数A
501068,招商富时A-H50指数C
501303,广发恒生中型股指数A
501309,国泰恒生港股通指数(LOF
501311,嘉实港股通新经济指数A
502006,易方达国企改革指数分级
502007,易方达国企改革指数分级A
502008,易方达国企改革指数分级B
502036,大成中证互联网金融指数分级
502037,大成中证互联网金融指数分级A
502038,大成中证互联网金融指数分级B
502040,长盛上证50指数分级
502041,长盛上证50指数分级A
502042,长盛上证50指数分级B
502048,易方达上证50指数分级
502049,易方达上证50指数分级A
502050,易方达上证50指数分级B
502056,广发医疗指数分级
502057,广发医疗指数分级A
502058,广发医疗指数分级B
510080,长盛全债指数增强债券
519005,海富通股票混合
519034,海富通中证内地低碳指数
519117,浦银安盛基本面400指数
519167,新华精选低波动股票
519180,万家180指数
519300,大成沪深300指数A
519673,银河康乐股票
519677,银河定投宝腾讯济安指数
519714,交银消费新驱动股票
519931,长信港股通指数
519935,长信创新驱动股票
519965,长信量化多策略股票A
519975,长信量化中小盘股票
540006,汇丰晋信大盘股票A
540007,汇丰晋信中小盘股票
540012,汇丰晋信恒生龙头指数A
585001,东吴中证新兴指数
590007,中邮上证380指数增强
660008,农银沪深300指数A
671030,西部利得事件驱动股票
673090,西部利得个股精选股票
673100,西部利得沪深300指数增强A
673101,西部利得沪深300指数增强
690008,民生中证内地资源主题指数
700002,平安深证300指数增强
41,华夏全球股票(QDII)
42,中证财通可持续发展100指数A
43,嘉实美国成长股票人民币
44,嘉实美国成长股票美元现汇
49,中银标普全球资源等权重指数
82,嘉实研究阿尔法股票
176,嘉实沪深300指数研究增强
179,广发美国房地产指数
180,广发美国房地产指数现汇
309,大摩品质生活精选股票
311,景顺长城沪深300指数增强
326,南方中小盘成长股票
368,汇添富沪深300安中指数
409,鹏华环保产业股票
411,景顺长城优质成长股票
418,景顺长城成长之星股票
457,上投摩根核心成长股票
471,富国城镇发展股票
478,建信中证500指数增强A
512,国泰沪深300指数增强A
513,富国高端制造行业股票
524,上投摩根民生需求股票
549,华安大国新经济股票
577,安信价值精选股票
586,景顺长城中小板创业板精选股票
592,建信改革红利股票
593,易方达标普消费品指数美元现
594,大摩进取优选股票
596,前海开源中证军工指数A
628,大成高新技术产业股票
656,前海开源沪深300指数
688,景顺长城研究精选股票
696,汇添富环保行业股票
697,汇添富移动互联股票
711,嘉实医疗保健股票
729,建信中小盘先锋股票
746,招商行业精选股票基金
751,嘉实新兴产业股票
756,建信潜力新蓝筹股票
761,国富健康优质生活股票
778,鹏华先进制造股票
780,鹏华医疗保健股票
793,工银高端制造股票
803,工银研究精选股票
826,广发百发100指数A
827,广发百发100指数E
831,工银医疗保健股票
835,华润元大富时中国A50指数
854,鹏华养老产业股票
866,华宝制造股票
867,华宝品质生活股票
884,民生加银优选股票
893,工银创新动力股票
906,广发全球精选股票美元现汇
913,农银医疗保健股票
916,前海开源股息率100强股票
925,汇添富外延增长主题股票
960,招商医药健康产业股票
962,天弘中证500指数A
968,广发养老指数A
971,诺安新经济股票
974,安信消费医药股票
978,景顺长城量化精选股票
979,景顺长城沪港深精选股票
985,嘉实逆向策略股票
988,嘉实全球互联网股票人民币
989,嘉实全球互联网股票美元现汇
990,嘉实全球互联网股票美元现钞
991,工银战略转型股票
996,中银新动力股票
1008,工银国企改革股票
1009,上投摩根安全战略股票
1015,华夏沪深300指数增强A
1016,华夏沪深300指数增强C
1021,华夏亚债中国指数A
1023,华夏亚债中国指数C
1027,前海开源中证大农业指数增强
1028,华安物联网主题股票
