trade_code,name
1320,工银丰盈回报灵活配置混合
1324,华宝新价值混合
1325,鹏华弘和混合A
1326,鹏华弘和混合C
1327,鹏华弘华混合A
1328,鹏华弘华混合C
1329,鹏华弘实混合A
1330,鹏华弘实混合C
1331,鹏华弘信混合A
1332,鹏华弘信混合C
1336,鹏华弘益混合A
1337,鹏华弘益混合C
1338,安信稳健增值混合C
1339,兴银鼎新灵活配置混合
1342,易方达新享混合A
1343,易方达新享混合C
1345,富国新收益灵活配置混合A
1347,富国新收益灵活配置混合C
1348,大摩新机遇混合
1349,富国改革动力混合
1351,诺安中证500指数增强
1352,民生加银新战略混合
1355,广发聚泰混合A
1356,广发聚泰混合C
1357,泓德泓富混合A
1358,宝盈祥泰混合
1359,国联安添鑫灵活配置混合A
1362,景顺长城领先回报混合A
1363,长城久惠灵活配置混合
1364,大成景润灵活配置混合
1365,大成正向回报灵活配置混合
1366,金鹰产业整合混合
1370,中银新趋势混合
1371,富国沪港深价值混合
1373,易方达新丝路灵活配置混合
1375,金元顺安优质精选混合C
1376,泓德泓富混合C
1379,景顺长城领先回报混合C
1380,鹏华弘盛混合C
1381,鹏华弘泽混合C
1382,易方达国企改革混合
1384,东方新思路混合A
1385,东方新思路混合C
1387,中融新经济混合A
1388,中融新经济混合C
1389,中融鑫视野混合A
1390,中融鑫视野混合C
1392,国富金融地产混合A
1393,国富金融地产混合C
1396,建信互联网+产业升级股票
1397,建信精工制造指数增强
1398,华泰柏瑞健康生活混合
1399,安信鑫安得利混合A
1400,安信鑫安得利混合C
1402,信诚新选混合A
1403,招商国企改革主题混合基金
1404,招商移动互联网产业股票基金
1405,东方红策略精选混合A
1406,东方红策略精选混合C
1407,景顺长城稳健回报混合C
1408,建信鑫丰回报灵活配置混合A
1409,工银互联网加股票
1410,信达澳银新能源产业股票
1411,诺安创新驱动混合A
1412,德邦鑫星价值灵活配置混合A
1413,中融鑫起点混合A
1414,中融鑫起点混合C
1415,信诚新锐混合A
1416,嘉实事件驱动股票
1417,汇添富医疗服务混合
1418,泰达宏利创益混合A
1419,泰达宏利新思路混合A
1422,景顺长城安享回报混合A
1423,景顺长城安享回报混合C
1424,博时新起点混合A
1425,博时新起点混合C
1427,招商丰泽混合A
1428,工银瑞信灵活配置混合B
1430,中邮乐享收益灵活配置混合
1433,易方达瑞景混合
1437,易方达瑞享混合I
1438,易方达瑞享混合E
1441,易方达瑞信混合I
1442,易方达瑞信混合E
1443,易方达瑞选灵活配置混合I
1444,易方达瑞选灵活配置混合E
1446,招商丰泽混合C
1447,天弘惠利混合
1448,华商双翼平衡混合
1449,华商双驱优选混合
1453,鹏华弘鑫混合A
1454,鹏华弘鑫混合C
1457,华商新常态混合
1463,光大一带一路混合
1464,光大鼎鑫混合A
1466,华富永鑫灵活配置混合A
1467,华富永鑫灵活配置混合C
1468,广发改革混合
1470,融通通鑫灵活配置混合
1471,融通新能源灵活配置混合
1473,建信大安全战略精选股票
1475,易方达国防军工混合
1476,中银智能制造股票
1479,中邮风格轮动灵活配置混合
1480,财通成长优选混合
1481,华宝标普油气上游股票美元
1482,上投摩根新兴服务股票
1484,天弘新价值混合
1485,华安添颐混合
1487,宝盈优势产业混合
1488,万家瑞丰灵活配置混合A
1489,万家瑞丰灵活配置混合C
1490,汇添富国企创新股票
1495,东方新价值混合A
1496,工银聚焦30股票
1498,建信鑫荣回报灵活配置混合
1499,国投瑞银新增长混合
1500,泓德远见回报混合
1506,景顺长城泰和回报混合A
1507,景顺长城泰和回报混合C
1508,富国新动力灵活配置混合A
1510,富国新动力灵活配置混合C
1511,兴全新视野定开混合
1513,易方达信息产业混合
1520,国投瑞银研究精选股票
1521,国寿安保成长优选股票
1522,博时新策略灵活配置混合A
1523,博时新策略灵活配置混合C
1524,华泰柏瑞精选回报混合
1528,诺安先进制造股票
1530,万家瑞富灵活配置混合
1531,招商安益灵活配置混合
1532,华安文体健康混合
1534,华宝万物互联混合
1537,中加改革红利混合
1538,上投摩根科技前沿灵活配置混合
1541,汇添富民营新动力股票
1542,国泰互联网+股票
1543,宝盈新锐混合
1547,兴业聚惠灵活配置混合A
1548,天弘上证50指数A
1549,天弘上证50指数C
1556,天弘量化驱动股票A
1557,天弘量化驱动股票C
1558,天弘医疗健康混合A
1559,天弘医疗健康混合C
1562,易方达瑞和灵活配置混合
1563,华富健康文娱灵活配置混合
1564,东方红京东大数据混合
1569,泰信国策驱动灵活配置混合
1573,南方互联网+灵活配置混合
1574,中海混改红利混合
1576,国泰智能装备股票
1577,嘉实低价策略股票
1579,国泰大农业股票
1581,华安沪港深通精选灵活配置混合
1583,安信新常态股票
1584,国投瑞银新活力定开混合A
1585,国投瑞银新活力定开混合C
1588,天弘中证800指数A
1589,天弘中证800指数C
1594,天弘中证银行指数A
1595,天弘中证银行指数C
1601,鑫元鑫新收益灵活配置混合A
1602,鑫元鑫新收益灵活配置混合C
1603,易方达安盈回报混合
1605,国富沪港深成长精选股票
1606,农银工业4.0混合
1609,平安鑫享混合A
1610,平安鑫享混合C
1613,长城久祥混合
1614,东方区域发展混合
1615,中欧睿尚定期开放混合
1616,嘉实环保低碳股票
1617,天弘中证电子指数A
1618,天弘中证电子指数C
1620,嘉实新机遇混合发起式
1623,兴业国企改革混合
1626,国泰央企改革股票
1628,招商体育文化休闲股票
1629,天弘中证计算机主题指数A
1630,天弘中证计算机主题指数C
1631,天弘中证食品饮料指数A
1632,天弘中证食品饮料指数C
1633,万家瑞祥混合A
1634,万家瑞祥混合C
1635,万家瑞益灵活配置混合A
1636,万家瑞益灵活配置混合C
1637,嘉实腾讯自选股大数据策略股票
1638,前海开源优势蓝筹股票C
1641,富国绝对收益多策略混合
1643,汇丰晋信智造先锋股票A
1644,汇丰晋信智造先锋股票C
1645,国泰大健康股票
1648,工银新价值灵活配置混合
1650,工银丰收回报灵活配置混合A
1651,工银新蓝筹股票
1654,国联安添鑫灵活配置混合C
1656,农银中国优势灵活配置混合
1657,长安鑫富领先混合
1659,富安达新动力混合
1660,富安达行业轮动混合
1662,创金沪港深精选混合
1663,中银互联网+股票
1664,平安鑫安混合A
1665,平安鑫安混合C
1667,南方转型混合
1668,汇添富全球互联混合
